customer_id,first_name,last_name,phone,email,country_code,account_open_date,account_flags
1,Griz,Roubeix,761-351-2493,groubeix0@yellowpages.com,RU,2019-07-20,E
1,Griz,Roubeix,761-351-2493,groubeix0@yellowpages.com,RU,2019-07-20,E
2,Carleen,Eles,480-128-4143,celes1@usa.gov,CN,2019-10-21,E
3,Marjy,Della,328-629-6853,mdella2@vimeo.com,NO,2019-05-04,E
4,Osborne,MacAdam,473-395-4702,omacadam3@sbwire.com,ID,2019-10-19,C
5,Roselia,Trethewey,439-680-3415,rtrethewey4@github.com,AR,2020-02-19,E
6,Cassy,Gainsford,358-877-6530,cgainsford5@vinaora.com,BH,2019-04-20,E
7,Robers,Scala,947-957-9269,rscala6@nasa.gov,ID,2020-01-14,E
8,Sibley,Reasun,654-130-6632,sreasun7@bing.com,JP,2019-03-25,E
9,Natka,Birdsey,655-623-0342,nbirdsey8@who.int,CN,2019-07-19,A
10,Jonis,Bigly,670-356-1004,jbigly9@prlog.org,CN,2019-05-15,D
11,Adaline,Loudwell,159-634-2408,aloudwella@youku.com,MA,2020-02-14,D
12,Jeromy,Spaice,611-864-5849,jspaiceb@domainmarket.com,MX,2020-01-13,A
13,Violet,Alston,964-201-1110,valstonc@wikispaces.com,CY,2020-02-20,C
14,Dallas,Davoren,738-758-0767,ddavorend@mysql.com,BR,2020-01-26,E
15,Goldina,Cliff,126-993-1062,gcliffe@cocolog-nifty.com,PL,2019-07-08,D
16,Brit,Winnett,635-515-7604,bwinnettf@merriam-webster.com,RU,2020-02-12,E
17,Christa,Bunclark,946-550-9727,cbunclarkg@biblegateway.com,CN,2020-02-16,E
18,Barnett,Rolinson,623-838-5064,brolinsonh@gizmodo.com,ID,2019-08-22,B
19,Joellyn,Startin,216-940-2580,jstartini@goo.gl,CN,2020-02-22,D
20,Gray,Dominka,544-949-2374,gdominkaj@jugem.jp,CN,2019-05-21,D
21,Sonya,Petrelli,834-331-5567,spetrellik@furl.net,CN,2019-08-12,E
22,Valery,Clubb,918-244-6824,vclubbl@netscape.com,JP,2019-04-15,C
23,Imojean,Schwerin,597-861-9170,ischwerinm@youtu.be,UY,2020-02-10,E
24,Elsbeth,Vanne,414-831-6069,evannen@cnn.com,GR,2020-03-20,B
25,Alyssa,Mance,786-118-2070,amanceo@archive.org,CN,2019-08-10,E
26,Waite,Petschelt,161-451-6662,wpetscheltp@cnn.com,YE,2019-12-17,C
27,Mitchell,Sumshon,196-445-9417,msumshonq@theatlantic.com,ID,2019-08-07,E
28,Meyer,Marshland,666-874-4688,mmarshlandr@umn.edu,CN,2019-04-17,B
29,Casey,McFater,537-408-7175,cmcfaters@dot.gov,CN,2019-09-13,D
30,Eldridge,Manifold,140-385-2708,emanifoldt@discuz.net,BR,2019-12-26,E
31,Barrett,Amies,809-664-1852,bamiesu@weather.com,TH,2020-03-05,C
32,Freida,Riccardini,443-907-0939,friccardiniv@toplist.cz,LV,2020-01-19,C
33,Ginevra,Tocknell,736-426-9252,gtocknellw@adobe.com,CM,2019-04-28,A
34,Mauricio,Panyer,353-614-6203,mpanyerx@dailymail.co.uk,PH,2019-05-12,B
35,Viva,Schulke,380-656-5098,vschulkey@fotki.com,CN,2019-06-04,E
36,Tony,Bickmore,849-520-6597,tbickmorez@spotify.com,AM,2019-09-01,E
37,Mariann,Tomsa,782-704-4705,mtomsa10@globo.com,TD,2019-03-26,E
38,Temp,Mash,223-819-1128,tmash11@usda.gov,RU,2019-11-29,C
39,Cazzie,Le Fevre,116-361-8678,clefevre12@marriott.com,TZ,2020-03-23,E
40,Lavena,Fiddler,814-186-5637,lfiddler13@geocities.jp,IR,2020-02-04,E
41,Marci,Klaes,212-825-7846,mklaes14@joomla.org,CN,2019-12-13,E
42,Heywood,Stork,494-201-2510,hstork15@hc360.com,RU,2019-08-20,D
43,Franklyn,McKeeman,728-871-4906,fmckeeman16@chron.com,FR,2019-12-18,D
44,Allyn,Loade,308-570-0883,aloade17@netvibes.com,CN,2020-02-24,C
45,Leigha,Yurikov,456-397-1213,lyurikov18@cam.ac.uk,ID,2019-10-03,A
46,Kaila,Entres,535-342-7077,kentres19@mozilla.org,ID,2019-07-31,E
47,Papageno,La Wille,158-923-4829,plawille1a@about.com,ID,2020-01-29,D
48,Queenie,Basire,407-464-3533,qbasire1b@etsy.com,CN,2019-09-09,E
49,Ashleigh,Slany,400-551-3009,aslany1c@simplemachines.org,PT,2020-03-12,E
50,Sherman,Gilliat,850-156-9626,sgilliat1d@edublogs.org,PS,2020-01-27,E
51,Kit,Skamell,460-410-6510,kskamell1e@bbb.org,AO,2020-03-07,D
52,Trever,Swetman,529-447-3588,tswetman1f@soundcloud.com,PS,2019-12-23,E
53,Cathe,Cridlon,684-152-4374,ccridlon1g@bbb.org,YE,2019-04-07,B
54,Vassili,Vick,967-235-5214,vvick1h@shop-pro.jp,PH,2019-08-13,E
55,Binky,Gregorowicz,283-162-1184,bgregorowicz1i@chicagotribune.com,PL,2019-05-31,D
56,April,Farrall,905-726-9402,afarrall1j@amazon.co.uk,ID,2019-06-23,E
57,Mela,Venditti,111-553-0247,mvenditti1k@jugem.jp,PH,2019-04-13,C
58,Janina,Ewbank,414-875-9581,jewbank1l@rediff.com,ID,2019-09-03,D
59,Bard,Guthrum,323-964-0434,bguthrum1m@upenn.edu,PH,2020-02-10,E
60,Christy,Smithend,453-221-5660,csmithend1n@storify.com,PH,2019-08-19,E
61,Baryram,Ades,251-828-4324,bades1o@ehow.com,ID,2019-11-20,E
62,Homer,Lindstedt,106-353-3551,hlindstedt1p@blinklist.com,GR,2019-09-24,D
63,Constance,Sleith,803-124-9381,csleith1q@mozilla.com,VE,2019-09-22,D
64,Aguistin,Lipman,854-863-4663,alipman1r@clickbank.net,PH,2020-03-11,E
65,Evelyn,Goulbourne,895-506-8461,egoulbourne1s@i2i.jp,CN,2019-06-21,E
66,Sabrina,Scorthorne,433-729-6985,sscorthorne1t@vk.com,FI,2019-07-05,A
67,Noam,Silverthorn,861-474-2704,nsilverthorn1u@prweb.com,PT,2020-03-07,E
68,Jamaal,Bilsford,750-611-3531,jbilsford1v@dell.com,NO,2019-04-29,D
69,Lester,Keely,577-310-9704,lkeely1w@squarespace.com,CA,2019-06-18,B
70,Bernardine,Shurrock,119-252-0388,bshurrock1x@washington.edu,PT,2020-02-29,E
71,Uriel,Iacivelli,925-624-2724,uiacivelli1y@last.fm,CA,2019-12-22,C
72,Sergio,Dudman,114-859-9879,sdudman1z@java.com,PH,2019-04-24,E
73,Rubia,Di Meo,625-198-9620,rdimeo20@pcworld.com,MU,2020-01-09,C
74,Alexandre,Delph,679-674-1281,adelph21@craigslist.org,CN,2019-06-02,E
75,Ashlin,Siderfin,382-120-8166,asiderfin22@psu.edu,FR,2019-03-25,A
76,Alfred,Garshore,310-587-2230,agarshore23@sina.com.cn,BR,2020-03-09,E
77,Deeanne,Kaye,646-941-6052,dkaye24@indiatimes.com,US,2019-07-10,E
78,Tabor,Calbrathe,571-154-2717,tcalbrathe25@gnu.org,AR,2019-10-05,A
79,Erek,Viggers,773-887-7022,eviggers26@google.cn,SE,2019-11-05,D
80,Ange,Klimpt,396-441-1480,aklimpt27@tripadvisor.com,EG,2019-12-12,E
81,Leigh,Mackett,180-448-4207,lmackett28@harvard.edu,CN,2019-12-01,D
82,Orion,Simister,176-461-1413,osimister29@yellowbook.com,CA,2020-03-10,D
83,Tish,Mankor,570-901-7855,tmankor2a@rambler.ru,YE,2019-11-13,E
84,Balduin,Birdsall,724-609-7918,bbirdsall2b@google.com.hk,GR,2019-10-24,C
85,Tiffani,Mossman,560-733-4777,tmossman2c@4shared.com,PT,2019-04-16,D
86,Mathilde,Krop,315-898-9510,mkrop2d@webs.com,PH,2019-08-05,D
87,Alina,Beach,458-226-3734,abeach2e@illinois.edu,CN,2019-07-05,C
88,Abbott,Duncombe,414-581-6114,aduncombe2f@behance.net,ID,2019-06-06,E
89,Cherie,Lingfoot,763-867-9041,clingfoot2g@seesaa.net,ID,2019-11-13,E
90,Mariana,Armer,850-483-9843,marmer2h@digg.com,RU,2019-09-25,E
91,Artemus,Fatkin,667-517-1980,afatkin2i@dagondesign.com,PL,2020-01-07,E
92,Lewes,Kennan,284-430-3557,lkennan2j@sohu.com,RU,2020-01-11,E
93,Earl,Colenutt,940-870-9745,ecolenutt2k@house.gov,CN,2019-09-10,E
94,Ogdan,Bussetti,161-835-9943,obussetti2l@themeforest.net,AR,2020-03-07,E
95,Milena,Craig,111-788-0974,mcraig2m@woothemes.com,ID,2019-04-20,E
96,Dane,Twigge,608-842-1826,dtwigge2n@livejournal.com,BR,2019-05-09,D
97,Jemie,Muggleston,816-298-5671,jmuggleston2o@opensource.org,ID,2019-05-29,E
98,Twyla,Coppledike,476-104-2318,tcoppledike2p@hc360.com,CN,2020-01-02,C
99,Tamar,O' Dooley,344-525-2617,todooley2q@biblegateway.com,GR,2020-03-20,D
100,Gillan,Heritege,183-805-2048,gheritege2r@nyu.edu,CZ,2019-11-30,E
